utterance,qud,ccPrior,state.CC,state.BEL,prob
pos-know-pos-dance,ccQUD,higher,1,1,1
pos-know-pos-dance,ccQUD,lower,1,1,1
pos-know-pos-dance,mcQUD,higher,1,1,1
pos-know-pos-dance,mcQUD,lower,1,1,1
pos-think-pos-dance,ccQUD,higher,1,1,0.6666662447198219
pos-think-pos-dance,ccQUD,higher,0,1,0.33333375528017783
pos-think-pos-dance,ccQUD,lower,0,1,0.6666670886132441
pos-think-pos-dance,ccQUD,lower,1,1,0.3333329113867557
pos-think-pos-dance,mcQUD,higher,1,1,0.6569449019238429
pos-think-pos-dance,mcQUD,higher,0,1,0.34305509807615675
pos-think-pos-dance,mcQUD,lower,0,1,0.6762486999987711
pos-think-pos-dance,mcQUD,lower,1,1,0.3237513000012292
neg-know-pos-dance,ccQUD,higher,1,0,0.4100754893189391
neg-know-pos-dance,ccQUD,higher,0,1,0.36849509354906096
neg-know-pos-dance,ccQUD,higher,0,0,0.2214294171320011
neg-know-pos-dance,ccQUD,lower,0,1,0.532166387303487
neg-know-pos-dance,ccQUD,lower,0,0,0.31977981531025557
neg-know-pos-dance,ccQUD,lower,1,0,0.1480537973862569
neg-know-pos-dance,mcQUD,higher,1,0,0.9735395781922556
neg-know-pos-dance,mcQUD,higher,0,0,0.025316806088799822
neg-know-pos-dance,mcQUD,higher,0,1,0.001143615718944078
neg-know-pos-dance,mcQUD,lower,1,0,0.9019422602360307
neg-know-pos-dance,mcQUD,lower,0,0,0.0938196980058679
neg-know-pos-dance,mcQUD,lower,0,1,0.004238041758101703
neg-think-pos-dance,ccQUD,higher,1,0,0.6666670719226002
neg-think-pos-dance,ccQUD,higher,0,0,0.33333292807739984
neg-think-pos-dance,ccQUD,lower,0,0,0.6666662614104866
neg-think-pos-dance,ccQUD,lower,1,0,0.333333738589513
neg-think-pos-dance,mcQUD,higher,1,0,0.6642218432885759
neg-think-pos-dance,mcQUD,higher,0,0,0.33577815671142386
neg-think-pos-dance,mcQUD,lower,0,0,0.6691025570620792
neg-think-pos-dance,mcQUD,lower,1,0,0.3308974429379206
pos-bare-pos-dance,ccQUD,higher,1,0,0.5000085101020084
pos-bare-pos-dance,ccQUD,higher,1,1,0.49999148989799164
pos-bare-pos-dance,ccQUD,lower,1,0,0.5000085101020084
pos-bare-pos-dance,ccQUD,lower,1,1,0.4999914898979917
pos-bare-pos-dance,mcQUD,higher,1,0,0.5057829548135837
pos-bare-pos-dance,mcQUD,higher,1,1,0.4942170451864164
pos-bare-pos-dance,mcQUD,lower,1,0,0.5057829548135837
pos-bare-pos-dance,mcQUD,lower,1,1,0.49421704518641635
neg-bare-pos-dance,ccQUD,higher,0,0,0.5000020367748856
neg-bare-pos-dance,ccQUD,higher,0,1,0.4999979632251142
neg-bare-pos-dance,ccQUD,lower,0,0,0.5000020367748856
neg-bare-pos-dance,ccQUD,lower,0,1,0.4999979632251142
neg-bare-pos-dance,mcQUD,higher,0,1,0.5001045085825894
neg-bare-pos-dance,mcQUD,higher,0,0,0.49989549141741085
neg-bare-pos-dance,mcQUD,lower,0,1,0.5001045085825893
neg-bare-pos-dance,mcQUD,lower,0,0,0.49989549141741085
